Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Hastings District,Non-Maori,Male,No,50-64,5871,0.09983346444370006
Hastings District,Non-Maori,Male,No,65+,4767,0.08761692257379057
Hauraki District,Maori,Female,Yes,18-29,310,0.6115922112347293
Hauraki District,Maori,Female,Yes,30-39,189,0.5094754696159086
Hauraki District,Maori,Female,Yes,40-49,249,0.4319369769873645
Hauraki District,Maori,Female,Yes,50-64,279,0.400173487190429
Hauraki District,Maori,Female,Yes,65+,117,0.36615406399191003
Hauraki District,Maori,Male,Yes,18-29,256,0.5299362636227687
Hauraki District,Maori,Male,Yes,30-39,159,0.4264829967181131
Hauraki District,Maori,Male,Yes,40-49,180,0.35249862864236003
Hauraki District,Maori,Male,Yes,50-64,258,0.3232526495665709
Hauraki District,Maori,Male,Yes,65+,123,0.2925827271872875
Hauraki District,Non-Maori,Female,No,18-29,697,0.2795538241724768
Hauraki District,Non-Maori,Female,No,30-39,663,0.2037889492433085
Hauraki District,Non-Maori,Female,No,40-49,1002,0.15780672732606335
Hauraki District,Non-Maori,Female,No,50-64,1686,0.14119158859839137
Hauraki District,Non-Maori,Female,No,65+,1917,0.1246147008143881
Hauraki District,Non-Maori,Male,No,18-29,710,0.21741452520934604
Hauraki District,Non-Maori,Male,No,30-39,543,0.15487045943869318
Hauraki District,Non-Maori,Male,No,40-49,951,0.11828624291542675
Hauraki District,Non-Maori,Male,No,50-64,1638,0.10531181829050397
Hauraki District,Non-Maori,Male,No,65+,1740,0.09249377757733915
Horowhenua District,Maori,Female,Yes,18-29,536,0.6408589161143327
Horowhenua District,Maori,Female,Yes,30-39,390,0.5406576553767506
Horowhenua District,Maori,Female,Yes,40-49,423,0.4628514323518212
Horowhenua District,Maori,Female,Yes,50-64,501,0.4305375709907646
Horowhenua District,Maori,Female,Yes,65+,252,0.39563944625277775
Horowhenua District,Maori,Male,Yes,18-29,496,0.5609386844433999
Horowhenua District,Maori,Male,Yes,30-39,267,0.4573213547701663
Horowhenua District,Maori,Male,Yes,40-49,363,0.3815463060544876
Horowhenua District,Maori,Male,Yes,50-64,393,0.35119747604700513
